Demographic classification of electoral divisions via
https://www.aec.gov.au/Electorates/maps.htm
---
Adelaide	Inner metro
Aston	Outer metro
Ballarat	Regional
Banks	Inner metro
Barker	Rural
Barton	Inner metro
Bass	Regional
Bean	Inner metro
Bendigo	Regional
Bennelong	Inner metro
Berowra	Outer metro
Blair	Regional
Blaxland	Inner metro
Bonner	Outer metro
Boothby	Outer metro
Bowman	Outer metro
Braddon	Rural
Bradfield	Inner metro
Brand	Outer metro
Brisbane	Inner metro
Bruce	Outer metro
Bullwinkel	Outer metro
Burt	Outer metro
Calare	Rural
Calwell	Outer metro
Canberra	Inner metro
Canning	Outer metro
Capricornia	Regional
Casey	Rural
Chifley	Outer metro
Chisholm	Inner metro
Clark	Inner metro
Cook	Inner metro
Cooper	Inner metro
Corangamite	Regional
Corio	Regional
Cowan	Inner metro
Cowper	Regional
Cunningham	Regional
Curtin	Inner metro
Dawson	Rural
Deakin	Outer metro
Dickson	Outer metro
Dobell	Regional
Dunkley	Outer metro
Durack	Rural
Eden-Monaro	Rural
Fadden	Outer metro
Fairfax	Rural
Farrer	Rural
Fenner	Inner metro
Fisher	Rural
Flinders	Rural
Flynn	Rural
Forde	Outer metro
Forrest	Rural
Fowler	Outer metro
Franklin	Outer metro
Fraser	Inner metro
Fremantle	Inner metro
Gellibrand	Inner metro
Gilmore	Rural
Gippsland	Rural
Goldstein	Inner metro
Gorton	Outer metro
Grayndler	Inner metro
Greenway	Outer metro
Grey	Rural
Griffith	Inner metro
Groom	Regional
Hasluck	Outer metro
Hawke	Regional
Herbert	Regional
Hindmarsh	Inner metro
Hinkler	Regional
Holt	Outer metro
Hotham	Inner metro
Hughes	Outer metro
Hume	Outer metro
Hunter	Rural
Indi	Rural
Isaacs	Outer metro
Jagajaga	Outer metro
Kennedy	Rural
Kingsford Smith	Inner metro
Kingston	Outer metro
Kooyong	Inner metro
La Trobe	Regional
Lalor	Outer metro
Leichhardt	Rural
Lilley	Inner metro
Lindsay	Outer metro
Lingiari	Rural
Longman	Regional
Lyne	Rural
Lyons	Rural
Macarthur	Outer metro
Mackellar	Outer metro
Macnamara	Inner metro
Macquarie	Regional
Makin	Outer metro
Mallee	Rural
Maranoa	Rural
Maribyrnong	Inner metro
Mayo	Rural
McEwen	Rural
McMahon	Outer metro
McPherson	Regional
Melbourne	Inner metro
Menzies	Outer metro
Mitchell	Outer metro
Monash	Rural
Moncrieff	Regional
Moore	Outer metro
Moreton	Inner metro
New England	Rural
Newcastle	Regional
Nicholls	Rural
O'Connor	Rural
Oxley	Outer metro
Page	Rural
Parkes	Rural
Parramatta	Inner metro
Paterson	Regional
Pearce	Outer metro
Perth	Inner metro
Petrie	Outer metro
Rankin	Outer metro
Reid	Inner metro
Richmond	Rural
Riverina	Rural
Robertson	Regional
Ryan	Outer metro
Scullin	Outer metro
Shortland	Regional
Solomon	Inner metro
Spence	Outer metro
Sturt	Inner metro
Swan	Inner metro
Sydney	Inner metro
Tangney	Inner metro
Wannon	Rural
Warringah	Inner metro
Watson	Inner metro
Wentworth	Inner metro
Werriwa	Outer metro
Whitlam	Regional
Wide Bay	Rural
Wills	Inner metro
Wright	Rural
